District Names,State/UT,DistrictRisk
Lakshadweep , Lakshadweep ,6.07
Nicobars,Andaman & Nicobar Islands,13.74
North & Middle Andaman ,Andaman & Nicobar Islands,10.78
South Andaman ,Andaman & Nicobar Islands,8.39
Srikakulam ,Andhra Pradesh,11.69
Vizianagaram ,Andhra Pradesh,13.76
Visakhapatnam ,Andhra Pradesh,15.18
East Godavari ,Andhra Pradesh,15.13
West Godavari ,Andhra Pradesh,11.17
Krishna ,Andhra Pradesh,10.82
Guntur ,Andhra Pradesh,12.64
Prakasam ,Andhra Pradesh,11.76
Sri Potti Sriramulu Nello ,Andhra Pradesh,10.59
Y.S.R. ,Andhra Pradesh,9
Kurnool ,Andhra Pradesh,14.77
Anantapur ,Andhra Pradesh,13.08
Chittoor ,Andhra Pradesh,11.79
Tawang ,Arunachal Pradesh,27.94
West Kameng ,Arunachal Pradesh,27.58
East Kameng ,Arunachal Pradesh,31.8
Papum Pare ,Arunachal Pradesh,25.47
Upper Subansiri ,Arunachal Pradesh,30.95
Upper Siang ,Arunachal Pradesh,28.9
Changlang ,Arunachal Pradesh,26.38
Lower Subansiri ,Arunachal Pradesh,21.67
Dibang Valley ,Arunachal Pradesh,23.26
Lower Dibang Valley ,Arunachal Pradesh,20.83
Anjaw ,Arunachal Pradesh,31.02
East Siang ,Arunachal Pradesh,24.38
Kra Daadi ,Arunachal Pradesh,36
Kurung Kumey ,Arunachal Pradesh,28.39
Lohit ,Arunachal Pradesh,22.7
Longding ,Arunachal Pradesh,34.76
Namsai ,Arunachal Pradesh,34.46
Siang ,Arunachal Pradesh,26.67
Tirap ,Arunachal Pradesh,31.33
West Siang ,Arunachal Pradesh,25.83
Kokrajhar ,Assam,25.67
Goalpara ,Assam,19.57
Barpeta ,Assam,20.62
Morigaon ,Assam,21.42
Lakhimpur ,Assam,18.93
Dhemaji ,Assam,18.5
Tinsukia ,Assam,20.2
Dibrugarh ,Assam,13.42
Golaghat ,Assam,16.95
Dima Hasao ,Assam,23.5
Cachar ,Assam,32.45
Karimganj ,Assam,28.74
Hailakandi ,Assam,28.24
Bongaigaon ,Assam,25.07
Chirang ,Assam,23.07
Kamrup ,Assam,22.53
Kamrup Metropolitan ,Assam,15.79
Nalbari ,Assam,16.19
Baksa ,Assam,20.28
Darrang ,Assam,24.29
Udalguri ,Assam,24.87
Biswanath ,Assam,26.74
Charaideo ,Assam,18.42
Dhubri ,Assam,32.36
Hojai ,Assam,21.54
Jorhat ,Assam,13.21
Karbi Anglong ,Assam,25.61
Majuli ,Assam,15.55
Nagaon ,Assam,20.34
Sivasagar ,Assam,12.69
Sonitpur ,Assam,24.46
South Salmara Mancachar ,Assam,28.48
West Karbi Anglong ,Assam,32.29
Pashchim Champaran ,Bihar,30.11
Purba Champaran ,Bihar,37.45
Sheohar ,Bihar,30.09
Sitamarhi ,Bihar,35.52
Madhubani ,Bihar,29.16
Supaul ,Bihar,29.28
Araria ,Bihar,35.74
Kishanganj ,Bihar,40.53
Purnia ,Bihar,37.6
Katihar ,Bihar,37
Madhepura ,Bihar,33.23
Saharsa ,Bihar,38.06
Darbhanga ,Bihar,33.54
Muzaffarpur ,Bihar,30.1
Gopalganj ,Bihar,26.51
Siwan ,Bihar,24.3
Saran ,Bihar,29.59
Vaishali ,Bihar,27.95
Samastipur ,Bihar,29.29
Begusarai ,Bihar,27.26
Khagaria ,Bihar,32.29
Bhagalpur ,Bihar,29.6
Banka ,Bihar,26.1
Munger ,Bihar,18.99
Lakhisarai ,Bihar,28.75
Sheikhpura ,Bihar,22.61
Nalanda ,Bihar,24.95
Patna ,Bihar,27.45
Bhojpur ,Bihar,25.15
Buxar ,Bihar,23.01
Kaimur (Bhabua) ,Bihar,23.14
Rohtas ,Bihar,18.61
Aurangabad ,Bihar,25.11
Gaya ,Bihar,27.32
Nawada ,Bihar,25.21
Jamui ,Bihar,29.43
Jehanabad ,Bihar,23.78
Arwal ,Bihar,24.77
Chandigarh,Chandigarh,9.11
Koriya ,Chhattisgarh,18.16
Jashpur ,Chhattisgarh,21.3
Raigarh ,Chhattisgarh,16.65
Korba ,Chhattisgarh,24.18
Janjgir - Champa ,Chhattisgarh,15.42
Kabeerdham ,Chhattisgarh,14.28
Rajnandgaon ,Chhattisgarh,9.62
Mahasamund ,Chhattisgarh,13.17
Dhamtari ,Chhattisgarh,11.4
Uttar Bastar Kanker ,Chhattisgarh,10.75
Narayanpur ,Chhattisgarh,25.11
Bijapur ,Chhattisgarh,31.27
Balod ,Chhattisgarh,7.48
Baloda Bazar ,Chhattisgarh,22.12
Balrampur ,Chhattisgarh,22.78
Bastar ,Chhattisgarh,29.71
Bemetara ,Chhattisgarh,13.65
